step,path1,path2,path3,path4,path5,path6,path7,path8,path9,path10,path11,path12,path13,path14,path15,path16,path17,path18,path19,path20,path21,path22,path23,path24,path25,path26,path27,path28,path29,path30,path31,path32,path33,path34,path35,path36,path37,path38,path39,path40,path41,path42,path43,path44,path45,path46,path47,path48,path49,path50
12,101.2975331,100.8017041,94.53800732,102.4735185,102.7887867,97.13394264,97.5688208,105.3370825,101.0850966,102.1105097,107.1249437,101.4309957,103.0218698,101.946298,103.4774516,99.43333828,96.84066203,99.24075883,104.4118207,100.4851291,97.96064912,102.4166098,101.3193114,88.44147374,105.66005,99.53260538,106.812417,107.032593,99.14188757,101.1229364,93.53681747,102.4900324,98.85810483,97.8662467,98.07901577,98.89301875,100.3261026,95.75909959,102.545831,93.82696767,105.0003428,101.4849052,99.23795853,104.5596383,103.2624278,98.51388767,96.4737361,103.9385495,103.0257801,104.4037966
13,103.3554845,102.0757871,95.17138367,104.2920941,105.3039581,97.33248739,95.4242696,105.6657621,100.6756237,102.8852258,106.0191029,102.5215561,102.6072087,102.7692729,104.6359773,98.671121,96.38608373,97.76196593,106.225338,102.6963199,96.15630215,101.9039645,102.7722398,89.48667212,103.4978736,99.98330636,106.2906935,106.7594861,98.83257408,99.56703189,93.410097,103.5829706,100.9805329,96.01604989,98.71782292,99.3452009,99.84734283,95.25829413,102.915191,95.09748313,105.4652728,99.85577281,100.436155,103.1461546,104.7483159,97.44094222,98.25798512,104.629865,106.5978269,104.6560559
14,102.9418861,102.5173808,95.91654037,104.0714406,104.565578,96.38852171,95.63481998,104.5774567,101.5187374,101.5339907,103.2735262,102.2180476,103.3625747,101.8292653,104.4844522,98.15240694,95.10823859,100.7261554,104.041137,102.9081781,97.11030464,102.6970598,105.0125443,88.85502468,103.5037378,100.0877798,107.4499851,106.5369562,98.01119099,102.2630411,90.41352244,105.0682305,99.6447133,95.87111538,98.86116326,99.4470475,100.4441912,96.58963099,104.142512,94.44889294,105.9763061,98.51980786,97.96362822,103.0625773,106.7490646,97.58746352,98.08996326,104.8731182,107.0276453,107.0921271
15,103.5318842,102.645357,95.30806625,102.9725995,106.0379524,97.30716738,97.6617889,106.4236472,101.8882807,100.9786125,103.4254688,102.7267109,102.6263109,102.807239,103.8252173,98.53541888,93.4883496,102.2403494,104.2826786,102.005905,98.89023567,101.7246242,104.7431993,86.9682942,105.4860672,99.53074613,108.5114044,107.9524909,100.2173047,103.632638,92.10992013,105.4975698,99.79336658,97.15379568,99.43168292,96.96573646,101.3144795,97.7202126,104.9425518,97.11008748,107.3441795,98.13016756,97.12303716,101.7991821,108.7891907,98.07119571,99.60705141,107.3192364,105.7467084,108.9154458
16,102.707105,102.2416262,95.31850934,103.2864562,104.8445565,96.47790665,98.37191932,105.8904775,103.4712966,99.87164308,102.3232313,103.2720922,99.15558607,102.7196942,103.4933865,97.85804739,91.53867675,101.0701957,102.1169071,105.0792479,96.74639268,101.7475431,104.5588969,86.17362338,106.0855327,99.08892887,108.4143408,110.1106436,98.23817752,103.8350907,91.17156735,105.3264441,99.80001524,97.1805873,97.56795028,97.69126532,101.696936,98.81487124,104.6082577,97.85627411,108.0012116,98.37175689,94.77127216,100.7685049,107.8890809,95.14063286,98.23865169,106.8490559,106.8056606,108.6402614
17,102.4955677,101.7998781,94.24826838,102.8869833,105.2340387,96.93078545,99.4891971,106.5991518,104.7157175,98.87772269,103.8756516,100.9581889,99.02475887,103.0726379,104.6801043,98.34442417,90.56801174,100.9852875,101.7560799,105.1408468,95.85946652,101.4889807,103.7361014,86.67697949,107.0942662,99.92471058,108.7321503,109.2701324,96.81214009,104.5539563,93.03981961,105.6787746,99.77030889,98.57677594,97.53516579,98.95711281,101.7138098,97.30120352,105.449178,99.46069989,106.9382057,98.17216689,92.23958278,98.57125009,111.3945793,95.30484584,99.44882099,107.7668738,106.1454183,108.2465127
18,101.3535342,101.3214822,93.20945789,102.8839332,105.2180825,97.99048035,99.54042508,107.2336326,105.0622867,101.1893519,102.9718962,103.5130954,99.50866035,103.567449,106.5967302,98.11307384,91.8201851,102.6268692,102.5994733,103.8529681,96.95617998,101.4742134,105.628451,86.9596158,107.2697373,100.0056015,109.4443556,110.1215006,97.03536999,106.3460855,92.22586443,105.2738299,100.3096385,98.24269023,96.57815344,98.55007189,100.2971778,97.48078131,104.0040437,99.05154418,105.8390124,96.9948591,91.52090289,98.96865878,108.1601139,94.31351904,98.45963561,108.6261567,104.5120957,112.2953846
19,103.1803698,101.616273,90.87103723,103.7239055,106.3172554,98.78499922,102.1715641,105.7901285,106.893103,100.8532877,104.1150932,102.3721645,102.3962714,102.1957401,106.8043747,98.97674011,91.76254828,103.0376457,102.4408755,105.0870505,96.55266763,100.2184773,105.041879,86.66380842,108.0874278,98.65961175,109.2367107,111.3611968,95.38232168,105.6322108,92.83391558,106.9102094,100.4242635,96.29210319,97.04975685,98.69842327,99.47187908,95.75088901,103.7026406,99.46653966,103.5062636,95.18272218,91.27452463,98.85564884,107.4465972,93.70824602,98.87603261,112.1355455,104.8417572,114.5753669
20,99.95526266,102.892348,91.98885982,104.1372112,104.8233319,99.31100347,103.0734518,106.2156043,106.6208148,102.6661849,102.9591377,102.9568425,102.8502386,103.9107311,105.3459936,98.3737684,91.07231779,102.7963285,102.0729391,105.8247039,99.02153281,102.499421,105.8445426,85.94249209,110.2582782,98.9732487,109.6329181,110.5447348,96.30168246,105.3128291,91.58415983,106.9419393,99.84233933,95.6814531,98.0282102,99.18761737,100.1336531,94.96045293,104.3222635,96.65104367,102.8340079,94.03109422,92.03795238,99.58103369,109.1858784,93.25555916,97.52764324,112.2817557,105.9166804,112.3182429
21,100.3525091,103.006283,93.23287974,106.5825509,103.8479934,98.83218497,104.5733818,106.2651059,103.6214754,104.7622421,101.394902,105.059225,102.0975535,102.7101905,105.3592733,98.66308283,90.25235467,104.094707,102.0796253,108.2512199,97.59906721,102.9117654,102.7986959,86.52945976,110.8916259,96.89757091,110.3615375,110.1609954,95.68188406,102.98422,91.66151734,109.1520623,101.2207042,93.97269585,99.83052674,98.93083303,100.9072276,95.21791677,107.1402462,97.28231867,101.6440688,93.57200559,93.31116293,101.0162291,111.8809964,91.98366552,97.92374337,111.6471021,105.3747623,110.5270685
