num_paths,mean_discounted_payoff
1,187.5434296
2,164.5762118
3,150.7003578
4,153.3204207
5,162.1754479
6,145.9139166
7,138.713705
8,127.6416089
9,115.758375
10,116.0121834
11,108.453773
12,103.2119989
13,103.0605148
14,99.66461911
15,101.7420989
16,99.02415338
17,97.7682139
18,95.59573765
19,92.6921521
20,94.68149762
21,93.76492115
22,94.64063756
23,92.66411695
24,90.80225853
25,90.58158352
26,88.4296612
27,87.50538435
28,87.64086968
29,85.70796534
30,84.73910672
31,83.63803272
32,83.03620235
33,83.05643195
34,83.28553942
35,82.84007722
36,81.77392416
37,81.64408496
38,81.02910387
39,79.8333316
40,79.72624075
41,78.95604789
42,78.18917186
43,78.16081445
44,77.37715382
45,77.8248755
46,77.67219807
47,78.81348212
48,78.76843915
49,79.23153068
50,78.77221672
51,78.39484016
52,78.22685052
53,77.94841643
54,77.26137105
55,77.48512207
56,77.74496674
57,77.67963201
58,77.78636412
59,77.39490116
60,77.88438479
61,77.55853093
62,78.11165083
63,78.0138411
64,78.39062278
65,78.54169076
66,78.76221189
67,79.14777899
68,79.45801658
69,80.53489847
70,80.21270363
71,80.01229616
72,80.01620896
73,79.3757114
74,78.8019099
75,79.15260818
76,78.81204428
77,79.31067853
78,79.15409559
79,79.07318857
80,79.03404672
81,78.97568362
82,79.07727915
83,79.11258128
84,79.12970231
85,79.49195401
86,80.03605294
87,80.04826797
88,79.43375916
89,79.07471125
90,79.24339695
91,78.85563811
92,78.7038004
93,78.82589662
94,78.1933094
95,77.96392319
96,77.88226882
97,77.67517544
98,77.62304601
99,77.51890346
100,77.23647945
101,77.24600686
102,77.00481456
103,76.79182663
104,76.88866723
105,76.27198986
106,75.94337692
107,75.83112725
108,75.55730274
109,75.35892263
110,75.52913248
111,75.73776336
112,75.78922894
113,75.9828601
114,75.73124517
115,75.72014967
116,75.7546677
117,75.51814128
118,75.12041626
119,74.88733332
120,75.03184488
121,74.96174854
122,74.91814069
123,74.64601894
124,74.54383543
125,74.20369332
126,74.22569713
127,74.25868649
128,74.1718554
129,74.38349279
130,74.23149607
131,74.31977571
132,74.0651985
133,74.20322015
134,74.1911018
135,73.86844903
136,73.90150315
137,74.28992643
138,74.23874376
139,74.24807598
140,74.14923901
141,74.14406185
142,74.23469735
143,74.0269129
144,73.83910135
145,74.1791994
146,73.83452854
147,73.81843745
148,73.82896529
149,73.92150367
150,74.04784651
151,73.72947628
152,73.55832321
153,73.8138359
154,73.71548364
155,73.60103231
156,73.45990993
157,73.45006389
158,73.60168068
159,73.48652432
160,73.26791241
161,73.25984621
162,73.41337647
163,73.36948604
164,73.4376034
165,73.54331886
166,73.54722675
167,73.37823765
168,73.1431556
169,73.12213935
170,73.02011282
171,73.07681524
172,73.00247775
173,73.1157477
174,73.15658067
175,72.77523945
176,72.92548802
177,72.69778342
178,72.72038693
179,72.7125068
180,72.55935038
181,72.49656782
182,72.59633559
183,72.39671224
184,72.68594839
185,72.99112323
186,72.95938162
187,73.15485525
188,73.13695291
189,73.15562327
190,73.19330483
191,73.13752602
192,73.03609412
193,73.20590953
194,73.23813298
195,73.27355985
196,73.56822609
197,73.75030471
198,74.00967187
199,73.80954159
200,74.11853109
201,74.2717097
202,74.42458429
203,74.92367771
204,75.02590926
205,75.02778117
206,75.0984541
207,75.26432469
208,75.30367849
209,75.76032595
210,75.95429422
211,76.02450478
212,76.12266658
213,76.09267542
214,75.97964649
215,75.92133258
216,75.89879493
217,75.89426801
218,76.12625276
219,76.4763101
220,76.61337943
221,76.68080703
222,76.78366347
223,76.73362262
224,76.64781468
225,76.4682928
226,76.6215695
227,76.83997791
228,76.73394395
229,76.79738529
230,76.77658652
231,76.87500817
232,76.71504763
233,77.0353473
234,77.06813009
235,77.18139514
236,77.32185861
237,77.43057067
238,77.44209874
239,77.22834946
240,77.27493218
241,77.2499457
242,77.22284006
243,77.25566185
244,77.25111622
245,77.37588292
246,77.38990682
247,77.49976325
248,77.62647023
249,77.55417751
250,77.75202024
251,77.8198591
252,77.86063218
253,77.76018077
254,77.74760693
255,77.78245778
256,78.13964263
257,78.28477266
258,78.24530407
259,78.59407875
260,78.55320244
261,78.60714132
262,78.51713553
263,78.6669809
264,78.67374059
265,78.75583941
266,78.7926274
267,78.64824696
268,78.70842199
269,78.53283603
270,78.52407428
271,78.72110263
272,78.62134536
273,78.73652511
274,78.67261992
275,78.53457153
276,78.54943855
277,78.54086393
278,78.38431539
279,78.29480237
280,78.33052016
281,78.2860585
282,78.30634457
283,78.17127714
284,78.06918943
285,78.07732633
286,78.04444314
287,77.9843498
288,78.07270997
289,78.28300375
290,78.30444981
291,78.21517318
292,78.01331928
293,77.89746591
294,77.71875772
295,77.6999014
296,77.58516413
297,77.74396443
298,77.74423777
299,77.78377023
300,77.79423081
301,77.6727272
302,77.60473025
303,77.50468482
304,77.38859562
305,77.30404067
306,77.32442367
307,77.15767158
308,77.10551286
309,77.06671875
310,76.91111888
311,77.00817082
312,76.94238463
313,76.78813541
314,76.64558959
315,76.58175708
316,76.43752355
317,76.5169878
318,76.41597285
319,76.31464804
320,76.25079976
321,76.2409183
322,76.25185096
323,76.19790153
324,76.07645796
325,75.91211063
326,75.86514438
327,75.74593273
328,75.59579805
329,75.50493922
330,75.37505977
331,75.361557
332,75.32166211
333,75.26741905
334,75.17944849
335,75.04307025
336,75.02054498
337,74.8642677
338,74.76903126
339,74.82727601
340,74.81844952
341,74.66200057
342,74.53627032
343,74.45781625
344,74.41788467
345,74.30571977
346,74.24833701
347,74.30507159
348,74.36640804
349,74.38619569
350,74.24921871
351,74.15044895
352,74.16453659
353,74.13620932
354,74.03608916
355,74.01096101
356,73.99079292
357,74.00062344
358,73.95961042
359,73.78824476
360,73.72303774
361,73.66317587
362,73.63829256
363,73.55673139
364,73.39962196
365,73.38483509
366,73.34880756
367,73.32361365
368,73.22309685
369,73.28130515
370,73.29597131
371,73.18251446
372,73.01155535
373,72.92050565
374,72.80061464
375,72.70240823
376,72.55693649
377,72.52669471
378,72.50363944
379,72.36430297
380,72.20292248
381,72.1691965
382,72.05388926
383,71.93011043
384,71.87398316
385,71.77680844
386,71.65124573
387,71.53107336
388,71.41088239
389,71.34642323
390,71.32231853
391,71.21748521
392,71.20313683
393,71.16521437
394,71.04484577
395,71.00905538
396,70.99592494
397,70.89167397
398,70.86289502
399,70.77116743
400,70.6498029
401,70.70796877
402,70.62571473
403,70.51458725
404,70.46724846
405,70.40171244
406,70.27092061
407,70.27005082
408,70.22150001
409,70.21020245
410,70.12167663
411,70.138612
412,70.13290274
413,70.0702244
414,70.0551202
415,69.9391834
416,70.07162937
417,70.02863554
418,70.01779026
419,70.05307103
420,69.99777153
421,69.92349787
422,69.86052204
423,69.81339868
424,69.80720213
425,69.80137084
426,69.70452279
427,69.71547553
428,69.70834383
429,69.72628565
430,69.76830229
431,69.645129
432,69.61423294
433,69.53489702
434,69.51437813
435,69.44049673
436,69.31523873
437,69.27733609
438,69.31454905
439,69.22399144
440,69.12590695
441,69.13453444
442,69.14457755
443,69.05165744
444,69.09472977
445,69.10700034
446,69.0494097
447,68.99110171
448,69.00632925
449,68.95044126
450,68.91671113
451,68.90971709
452,68.86270772
453,68.85662229
454,68.86906083
455,68.80195114
456,68.80186369
457,68.76538867
458,68.68045421
459,68.64090869
460,68.67423062
461,68.62947391
462,68.51393913
463,68.54070792
464,68.54284313
465,68.51790556
466,68.51307108
467,68.54040932
468,68.51657023
469,68.49429957
470,68.44979271
471,68.46530097
472,68.40563187
473,68.35650142
474,68.35515849
475,68.34625596
476,68.29403288
477,68.18412347
478,68.18008244
479,68.16109382
480,68.17693548
481,68.142316
482,68.11546009
483,68.11770458
484,68.02102732
485,67.96847641
486,68.01611957
487,67.94762772
488,67.89857741
489,67.97480143
490,67.86667553
491,67.90336318
492,67.84894664
493,67.85392968
494,67.93985684
495,67.90469729
496,67.95023511
497,67.87813181
498,67.88996429
499,67.83310249
500,67.78241181
501,67.83846935
502,67.82167915
503,67.87552449
504,67.88224232
505,67.79905963
506,67.9011708
507,67.84718974
508,67.79154683
509,67.82553263
510,67.73978178
511,67.76610581
512,67.77517729
513,67.68475402
514,67.71602122
515,67.72954231
516,67.64649577
517,67.61173431
518,67.53420601
519,67.55840523
520,67.57141914
521,67.58482758
522,67.63356771
523,67.63995356
524,67.55826458
525,67.51094345
526,67.48610394
527,67.51114447
528,67.61647623
529,67.55030151
530,67.52729895
531,67.54680563
532,67.4564156
533,67.49687477
534,67.43815495
535,67.39464408
536,67.30749642
537,67.25043398
538,67.2896402
539,67.20430546
540,67.15762989
541,67.11683443
542,67.0536851
543,67.00577309
544,66.9002871
545,66.97183567
546,66.97971003
547,66.94321548
548,66.92486782
549,66.95725636
550,66.92170285
551,66.83849113
552,66.91710838
553,67.01819472
554,66.96258552
555,66.96873901
556,66.94371121
557,66.87041902
558,66.8083157
559,66.78011274
560,66.75632541
561,66.73629912
562,66.69391837
563,66.6589582
564,66.59669172
565,66.55547629
566,66.59233221
567,66.59297787
568,66.57056486
569,66.57987306
570,66.57349991
571,66.54394339
572,66.48639944
573,66.54115498
574,66.47675201
575,66.41034264
576,66.37327888
577,66.33965523
578,66.3121676
579,66.24627156
580,66.3167391
581,66.3291925
582,66.24048322
583,66.20270749
584,66.16212886
585,66.10697573
586,66.13553106
587,66.11312816
588,66.01168022
589,65.95219523
590,65.91037901
591,65.84307441
592,65.75658788
593,65.74164759
594,65.71371024
595,65.6533519
596,65.64809739
597,65.60504632
598,65.55829355
599,65.52288145
600,65.48101053
601,65.48016132
602,65.42080072
603,65.36831054
604,65.3253931
605,65.30385887
606,65.29166849
607,65.20786153
608,65.20010743
609,65.19391119
610,65.18807724
611,65.21982302
612,65.24448192
613,65.20858828
614,65.21165908
615,65.15725158
616,65.14551556
617,65.15874699
618,65.19283419
619,65.15784862
620,65.09090041
621,65.07758864
622,65.02656996
623,65.04077098
624,64.98562907
625,64.98400669
626,65.05606017
627,65.03195276
628,64.95535335
629,64.93656241
630,64.97523766
631,65.01230347
632,64.99797633
633,65.03346426
634,65.02613844
635,64.97358596
636,64.93877856
637,64.93687333
638,64.96880311
639,64.97250733
640,64.96903429
641,64.93029821
642,64.89523244
643,64.86752946
644,64.84388096
645,64.79962817
646,64.76090636
647,64.72409463
648,64.69945061
649,64.62908432
650,64.66604075
651,64.65305705
652,64.62336611
653,64.58979234
654,64.56038648
655,64.57539609
656,64.58543919
657,64.54548478
658,64.50953404
659,64.47671751
660,64.42256111
661,64.37731642
662,64.29355459
663,64.27919215
664,64.26536955
665,64.25263266
666,64.25271172
667,64.28372084
668,64.23397348
669,64.17751816
670,64.12158564
671,64.057003
672,64.03280371
673,63.98157821
674,63.97181708
675,64.03015206
676,64.08251875
677,64.03280085
678,64.04166793
679,64.05913593
680,63.99119077
681,64.00172618
682,63.96694229
683,63.91248855
684,63.94431395
685,63.97271594
686,63.92375762
687,63.92509691
688,63.9257468
689,63.95876086
690,63.98888141
691,63.95870555
692,63.94414641
693,63.89928725
694,63.8931325
695,63.86542383
696,63.83274014
697,63.77775407
698,63.77156074
699,63.75647936
700,63.77297526
701,63.73165542
702,63.74605445
703,63.71180407
704,63.6872854
705,63.674922
706,63.65579974
707,63.62971027
708,63.61077384
709,63.60638431
710,63.57936311
711,63.59542845
712,63.60077937
713,63.61537563
714,63.61840507
715,63.59119921
716,63.67368797
717,63.65409512
718,63.62382992
719,63.61688515
720,63.64084513
721,63.63427018
722,63.65726698
723,63.6427114
724,63.58488869
725,63.58918129
726,63.5480824
727,63.52771482
728,63.5972285
729,63.63063877
730,63.62559889
731,63.58150502
732,63.63754677
733,63.59500203
734,63.56418355
735,63.50909736
736,63.44266602
737,63.39752621
738,63.44974116
739,63.45638206
740,63.41501347
741,63.34924079
742,63.26853182
743,63.22348754
744,63.24322134
745,63.23509039
746,63.22614424
747,63.2109221
748,63.20580622
749,63.23488282
750,63.19092501
751,63.17609527
752,63.11628542
753,63.10372329
754,63.08101246
755,63.0732367
756,63.0405687
757,63.01275352
758,62.99103815
759,62.98492726
760,62.9740552
761,62.93396798
762,62.9137793
763,62.88855991
764,62.85965538
765,62.87906695
766,62.93518255
767,62.94607775
768,62.91822663
769,62.90774875
770,62.92108104
771,62.89001343
772,62.90810136
773,62.86780175
774,62.82187852
775,62.83405309
776,62.81207925
777,62.78489294
778,62.76121839
779,62.76611432
780,62.71789524
781,62.73319524
782,62.70418977
783,62.71829091
784,62.72376668
785,62.68793474
786,62.66152799
787,62.66493032
788,62.6594568
789,62.65828873
790,62.61538545
791,62.69938747
792,62.66947206
793,62.62192821
794,62.60362062
795,62.62392394
796,62.58310672
797,62.57962305
798,62.56674498
799,62.55631322
800,62.54627298
801,62.53137095
802,62.52466807
803,62.56953018
804,62.54937735
805,62.53604891
806,62.59727018
807,62.55202446
808,62.53440969
809,62.5197614
810,62.51517605
811,62.50324886
812,62.44718493
813,62.38703536
814,62.36680045
815,62.36581606
816,62.30843908
817,62.24777375
818,62.29738947
819,62.32675958
820,62.32755446
821,62.33295672
822,62.31873901
823,62.27853144
824,62.25732812
825,62.23871423
826,62.20823193
827,62.19560691
828,62.27473605
829,62.22994821
830,62.18778888
831,62.1983936
832,62.16650668
833,62.16165428
834,62.17572596
835,62.15131053
836,62.1521073
837,62.10639411
838,62.11699743
839,62.08466625
840,62.04806028
841,62.04751049
842,62.05478932
843,62.10450729
844,62.05587933
845,62.03076383
846,62.00153328
847,61.9892976
848,61.98041272
849,61.9668633
850,61.93284841
851,61.92217855
852,61.91282458
853,61.91583183
854,61.88129916
855,61.89185658
856,61.90070562
857,61.92792139
858,61.92482278
859,61.8821905
860,61.85514731
861,61.84324671
862,61.84673599
863,61.82063074
864,61.80229157
865,61.81736558
866,61.77805799
867,61.82419469
868,61.81624373
869,61.84200889
870,61.82095544
871,61.77493962
872,61.74008632
873,61.73587661
874,61.77622684
875,61.76803667
876,61.80976878
877,61.82248349
878,61.78073117
879,61.77067713
880,61.74286095
881,61.71028375
882,61.68483552
883,61.64119596
884,61.66228517
885,61.66040938
886,61.60580138
887,61.61607953
888,61.60811048
889,61.62854241
890,61.63992728
891,61.61803733
892,61.60543856
893,61.62862603
894,61.59407608
895,61.55230712
896,61.54655286
897,61.56716156
898,61.54670896
899,61.60634306
900,61.5715455
901,61.58322052
902,61.56259258
903,61.61268264
904,61.6356661
905,61.58951546
906,61.55734789
907,61.60200621
908,61.64196465
909,61.64032678
910,61.64069957
911,61.6320642
912,61.5930723
913,61.57326455
914,61.53223141
915,61.53879468
916,61.52707028
917,61.52411771
918,61.53581209
919,61.51323039
920,61.47263603
921,61.4559086
922,61.40135088
923,61.36196016
924,61.36000066
925,61.3274369
926,61.30150363
927,61.25550538
928,61.22356409
929,61.22754525
930,61.2337819
931,61.20492844
932,61.20128985
933,61.19753072
934,61.1642933
935,61.1372442
936,61.12454772
937,61.11739734
938,61.12193822
939,61.09843305
940,61.0798452
941,61.04752281
942,61.01437429
943,61.01603595
944,61.02189917
945,61.01174656
946,60.98092107
947,60.98746128
948,60.98291195
949,60.98673469
950,60.97731331
951,60.96439433
952,60.95423197
953,60.91754702
954,60.87661491
955,60.88333136
956,60.90972298
957,60.89498349
958,60.86079712
959,60.87060693
960,60.89202927
961,60.86561603
962,60.87454623
963,60.83613889
964,60.78566865
965,60.76761667
966,60.74455172
967,60.78807075
968,60.85771473
969,60.83869562
970,60.84291237
971,60.83678926
972,60.83517502
973,60.83012428
974,60.89050712
975,60.89742767
976,60.85135869
977,60.82803178
978,60.8190738
979,60.85097365
980,60.85732989
981,60.82892836
982,60.81115886
983,60.78898824
984,60.79527311
985,60.77152851
986,60.74267302
987,60.69590373
988,60.65496651
989,60.63707415
990,60.62945899
991,60.61769577
992,60.59892883
993,60.62739559
994,60.6746646
995,60.6869208
996,60.65999238
997,60.65597663
998,60.6322579
999,60.58365769
1000,60.58851675
1001,60.57051099
1002,60.59007179
1003,60.59946681
1004,60.56483336
1005,60.52796673
1006,60.50329884
1007,60.4789121
1008,60.46617324
1009,60.48416437
1010,60.47443547
1011,60.48418093
1012,60.52894224
1013,60.53344649
1014,60.52281185
1015,60.49743846
1016,60.52876849
1017,60.54667066
1018,60.56492656
1019,60.55761684
1020,60.59046433
1021,60.55946287
1022,60.56356698
1023,60.55922959
1024,60.56428863
1025,60.55725942
1026,60.54020257
1027,60.54488438
1028,60.52203223
1029,60.53224454
1030,60.55060911
1031,60.55996784
1032,60.54886882
1033,60.53687935
1034,60.55941033
1035,60.5708166
1036,60.53939663
1037,60.53507832
1038,60.54061857
1039,60.51562081
1040,60.51116356
1041,60.48168977
1042,60.49824907
1043,60.52357017
1044,60.52175289
1045,60.48646856
1046,60.4763156
1047,60.51910286
1048,60.5120127
1049,60.48394924
1050,60.48785715
1051,60.47213506
1052,60.45596072
1053,60.45029399
1054,60.42329958
1055,60.44001604
1056,60.42876501
1057,60.40394308
1058,60.38320448
1059,60.35528037
1060,60.34776702
1061,60.38750489
1062,60.39108899
1063,60.38768722
1064,60.34561842
1065,60.37235492
1066,60.35879694
1067,60.37451084
1068,60.37398858
1069,60.35220968
1070,60.31202385
1071,60.3170636
1072,60.32982102
1073,60.34573896
1074,60.33513478
1075,60.32683781
1076,60.30391199
1077,60.26767213
1078,60.26995922
1079,60.27072792
1080,60.23950762
1081,60.20158204
1082,60.17708238
1083,60.16452151
1084,60.14964459
1085,60.15590049
1086,60.112547
1087,60.10330062
1088,60.08682839
1089,60.08769442
1090,60.07189765
1091,60.04734914
1092,60.01899864
1093,60.03111866
1094,60.04939391
1095,60.04776188
1096,60.0648398
1097,60.04458626
1098,60.0250816
1099,60.03446667
1100,60.02864662
1101,60.02302692
1102,59.99278799
1103,59.96549097
1104,59.95929409
1105,59.95597396
1106,59.92350024
1107,59.89659183
1108,59.87973705
1109,59.85414428
1110,59.83252786
1111,59.84184222
1112,59.84140868
1113,59.81599907
1114,59.8084859
1115,59.79501489
1116,59.79060656
1117,59.77814177
1118,59.79282783
1119,59.80654177
1120,59.82470445
1121,59.85473421
1122,59.8681234
1123,59.88657094
1124,59.87097007
1125,59.85385855
1126,59.83589071
1127,59.8376832
1128,59.78969811
1129,59.78038823
1130,59.7673177
1131,59.79853386
1132,59.75510773
1133,59.74320053
1134,59.71968714
1135,59.68027376
1136,59.7298012
1137,59.73080189
1138,59.70707053
1139,59.73365921
1140,59.72716336
1141,59.74497939
1142,59.69992923
1143,59.70063843
1144,59.68750839
1145,59.74931189
1146,59.90394469
1147,59.91040227
1148,59.89487287
1149,59.84283222
1150,59.82132133
1151,59.77285945
1152,59.75452922
1153,59.72678663
1154,59.76061474
1155,59.7296653
1156,59.7127371
1157,59.67514023
1158,59.65071642
1159,59.64628879
1160,59.59856134
1161,59.60033053
1162,59.60885872
1163,59.58807953
1164,59.56367044
1165,59.54597431
1166,59.55311541
1167,59.5634683
1168,59.51878522
1169,59.50041624
1170,59.48845557
1171,59.47037272
1172,59.47576591
1173,59.48476675
1174,59.46684676
1175,59.43858048
1176,59.40605048
1177,59.39916202
1178,59.39535208
1179,59.3665575
1180,59.36585268
1181,59.39286655
1182,59.37388987
1183,59.37359582
1184,59.37094666
1185,59.36558532
1186,59.42779355
1187,59.40126675
1188,59.42263121
1189,59.39788106
1190,59.37661051
1191,59.38158188
1192,59.38057203
1193,59.37004858
1194,59.37375002
1195,59.3797211
1196,59.39869637
1197,59.41096709
1198,59.38439202
1199,59.38103197
1200,59.34447716
1201,59.31923712
1202,59.31495447
1203,59.31433081
1204,59.35178547
1205,59.34391297
1206,59.32532324
1207,59.32830546
1208,59.30851228
1209,59.31204744
1210,59.31802358
1211,59.33187583
1212,59.30482921
1213,59.3131523
1214,59.2865277
1215,59.27542976
1216,59.26157959
1217,59.30769992
1218,59.30092119
1219,59.26683764
1220,59.23948637
1221,59.24490572
1222,59.22763995
1223,59.22812249
1224,59.20213757
1225,59.23172867
1226,59.21701591
1227,59.19785917
1228,59.20272391
1229,59.17555696
1230,59.13849428
1231,59.13726071
1232,59.12276789
1233,59.13666302
1234,59.14928182
1235,59.20091081
